Id,State
2,Alaska
3,Arizona
4,Arkansas
5,California
6,Colorado
7,Connecticut
8,District of Columbia
9,Delaware
10,Florida
11,Georgia
12,Hawaii
13,Idaho
14,Illinois
15,Indiana
16,Iowa
17,Kansas
18,Kentucky
19,Louisiana
20,Maine
21,Maryland
22,Massachusetts
23,Michigan
24,Minnesota
25,Mississippi
26,Missouri
27,Montana
28,Nebraska
29,Nevada
30,New Hampshire
31,New Jersey
32,New Mexico
33,New York
34,North Carolina
35,North Dakota
36,Ohio
37,Oklahoma
38,Oregon
39,Pennsylvania
40,Rhode Island
41,South Carolina
42,South Dakota
43,Tennessee
44,Texas
45,Utah
46,Vermont
47,Virginia
48,Washington
49,West Virginia
50,Wisconsin
51,Wyoming
52,New South Wales
53,Victoria
54,Queensland
55,South Australia
56,Western Australia
57,Tasmania
58,Northern Territory
59,Australian Capital Territory
60,Alabama
62,Québec
63,Alberta
64,British Columbia
65,Manitoba
66,New Brunswick
67,Newfoundland and Labrador
68,Nova Scotia
69,Ontario
70,Prince Edward Island
71,Saskatchewan
72,Northwest Territories
73,Nunavut
74,Yukon Territory
76,Oost-Vlaanderen
78,Vlaams-Brabant
80,Liège
81,Namur
82,North Island
86,South Island
87,Antwerpen
88,Hainaut
89,Limburg
90,Luxembourg
91,Brabant wallon
92,West-Vlaanderen
93,Brussels
95,Aveiro
96,Beja
97,Braga
98,Bragança
99,Castelo Branco
100,Coimbra
101,Évora
102,Faro
103,Guarda
104,Leiria
105,Lisboa
106,Portalegre
107,Porto
108,Santarém
109,Setúbal
110,Viana do Castelo
111,Viseu
112,Vila Real
113,Arquipélago da Madeira
114,Arquipélago dos Açores
115,Castilla y León
116,Andalucía
117,Castilla-La Mancha
119,Aragón
120,Extremadura
121,Cataluña
122,Galicia
123,Comunidad Valenciana
124,Región de Murcia
125,Principado de Asturias
126,Comunidad Foral de Navarra
127,Comunidad de Madrid
128,Islas Canarias
129,País Vasco
130,Cantabria
131,La Rioja
132,Islas Baleares
133,Ceuta
134,Melilla
135,Baden-Württemberg
136,Bayern
137,Berlin
138,Brandenburg
139,Bremen
140,Hamburg
141,Mecklenburg-Vorpommern
142,Niedersachsen
143,Nordrhein-Westfalen
144,Rheinland-Pfalz
145,Saarland
146,Sachsen
147,Sachsen-Anhalt
148,Schleswig-Holstein
149,Thüringen
150,Hessen
152,Western Cape
153,Eastern Cape
154,Northern Cape
155,Mpumalanga
156,North West
157,Kwazulu Natal
158,Limpopo
159,Gauteng
160,Free State
162,Acre
163,Alagoas
164,Amapá
165,Amazonas
166,Bahia
167,Ceará
168,Distrito Federal
169,Espírito Santo
170,Goiás
171,Maranhão
172,Mato Grosso
173,Mato Grosso do Sul
174,Minas Gerais
175,Pará
176,Paraíba
177,Paraná
178,Pernambuco
179,Piauí
180,Rio de Janeiro
181,Rio Grande do Norte
182,Rio Grande do Sul
183,Rondônia
184,Roraima
185,Santa Catarina
186,São Paulo
187,Sergipe
188,Tocantins
189,Abruzzo
190,Basilicata
192,Calabria
193,Campania
194,Emilia–Romagna 
195,Friuli–Venezia Giulia
196,Lazio
197,Liguria
198,Lombardia
199,Marche
200,Molise
201,Piemonte
202,Puglia
203,Sardegna
204,Sicilia
205,Toscana
206,Trentino–Alto Adige
207,Umbria
208,Valle d'Aosta
209,Veneto
210,Northern Scotland
211,Southern Scotland
212,North East England
213,North West England
214,Yorkshire
215,East Midlands
216,West Midlands
217,North Wales
218,South Wales
219,Eastern England
220,London
221,Southern England
222,South West England
223,South East England
224,Ulster
225,Munster
226,Dublin
227,Connacht
228,Leinster
241,Oslo
249,Rogaland
252,Møre og Romsdal
255,Nordland
258,Burgenland
